id,name,jurisdiction_id
4595,Kreisverwaltung Rhein-Hunsrück-Kreis,6
15310,Rhein-Pfalz-Kreis - Veterinäramt,6
3931,Staatsanwaltschaft Berlin,4
2665,Finanzamt Lippstadt,2
4424,Aufsichts- und Dienstleistungsdirektion Rheinland-Pfalz,6
2443,Amtsgericht Warstein,2
2432,Amtsgericht Soest,2
2390,Amtsgericht Lippstadt,2
9278,Stadt Leinfelden-Echterdingen,91
49069,Arbeitsgericht Pforzheim,91
15430,Landratsamt Schwarzwald-Baar-Kreis - Amt für Veterinärwesen und Lebensmittelüberwachung,91
15185,Landeswahlleiter beim Statistischen Landesamt des Freistaates Sachsen,89
749,Luftfahrt-Bundesamt,1
4597,Kreisverwaltung Rhein-Pfalz-Kreis,6
10892,"Sächsisches Landesamt für Umwelt, Landwirtschaft und Geologie (LfULG)",89
4856,Stadtverwaltung Zweibrücken,6
4852,Stadtverwaltung Trier,6
4838,Stadtverwaltung Koblenz,6
4830,Stadtverwaltung Frankenthal/Pfalz,6
4601,Kreisverwaltung Vulkaneifel,6
4599,Kreisverwaltung Südwestpfalz,6
4598,Kreisverwaltung Südliche Weinstraße,6
4592,Kreisverwaltung Mainz-Bingen,6
4591,Kreisverwaltung Kusel,6
4590,Kreisverwaltung Kaiserslautern,6
4589,Kreisverwaltung Germersheim,6
4587,Kreisverwaltung Donnersbergkreis,6
4586,Kreisverwaltung Cochem-Zell,6
4581,Kreisverwaltung Alzey-Worms,6
4580,Kreisverwaltung Altenkirchen,6
13928,Heimaufsicht Landkreis Minden-Lübbecke,2
4814,Staatsanwaltschaft Koblenz,6
16234,Schulbau Hamburg,5
3999,Finanzbehörde Hamburg,5
10876,Sächsische Landesärztekammer,89
16422,Technische Hochschule Mittelhessen,94
15436,Stadt Baden Baden  - Veterinärbehörde und Lebensmittelüberwachung,91
13423,Baye­ri­sche Landes­ärz­te­kam­mer,92
3794,Amtsgericht Tiergarten,4
10235,Landkreis Aurich,93
3779,Landtag NRW,2
103,Bundespolizeiakademie,1
3257,Kommunalverwaltung Ratingen,2
9015,Polizeipräsidium Stuttgart,91
3748,Polizeipräsidium Brandenburg,3
3958,Tierärztekammer Berlin,4
3985,Behörde für Justiz und Verbraucherschutz,5
16148,Kreis Paderborn - Umweltamt,2
8947,Landratsamt Karlsruhe,91
12905,Landesamt für soziale Dienste Schleswig-Holstein,11
15391,"Freie und Hansestadt Hamburg - Bezirksamt Eimsbüttel - Fachamt Verbraucherschutz, Gewerbe und Umwelt",5
15581,Kreis Wesel - Fachdienst Veterinär- und Lebensmittelüberwachung,2
16243,"Region Hannover, Fachdienst Verbraucherschutz und Veterinärwesen",93
15462,Landratsamt Ansbach - Veterinäramt,92
15415,Landkreis Heilbronn - Veterinäramt,91
9947,Main-Kinzig-Kreis,94
10899,"Sächsisches Staatsministerium für Wirtschaft, Arbeit und Verkehr",89
6913,Landkreis Greiz,10
12885,Die Landesbeauftragte für den Datenschutz Niedersachsen,93
16685,Staatliches Gewerbeaufsichtsamt Osnabrück,93
